Número,Título,Temas Relacionados,Textos Relacionados,Link do Vídeo,Texto Base,Categoria,Subcategoria,Autor da Letra,Autor da Música
1,"Santo, Santo, Santo!",Adoração e Louvor | Graça e Salvação | Sábado e Criação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=FDpludwY46U,Isaías 6:1-3,A Doutrina de Deus,A Trindade,Reginald Heber,John Bacchus Dykes
2,Ó Adorai o Senhor,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=u4c66cbU9-c,Salmo 96:9,A Doutrina de Deus,A Trindade,John Samuel Bewley Monsell,Edwin Barnes
3,O Deus Eterno Reina,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=BpMD-UziYbc,Salmo 99:1-3,A Doutrina de Deus,A Trindade,Fanny J. Crosby,Hart Pease Danks
4,Louvor ao Trino Deus,Adoração e Louvor | Espírito Santo | Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=hfH_dQpEMhk,Salmo 148,A Doutrina de Deus,A Trindade,Elizabeth Rundle Charles,Friedrich Ferdinand Flemming
5,Jubilosos Te Adoramos,"Adoração e Louvor | Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=e6r1kYZJ1hg,Salmo 105:1-3,A Doutrina de Deus,A Trindade,Henry Van Dyke,Ludwig Van Beethoven
6,Nós Te Adoramos,"Adoração e Louvor | Crianças e Jovens | Espírito Santo | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=gUX4rONKdeI,Salmo 95:6,A Doutrina de Deus,A Trindade,Edmond L. Budry,Franz Joseph Haydn
7,Sejas Louvado,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=jRo9W3iHhLc,"Salmo 9:1, 2",A Doutrina de Deus,A Trindade,Joachim Neander,Stralsund Gesangbuch
8,Ó Deus de Amor,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=W0Ha0nqpVtY,Gênesis 1:1,A Doutrina de Deus,A Trindade,Isaac Watts,John Hatton
9,"Santo, Santo, Pai Bondoso",Adoração e Louvor | Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=d-Jm5BqIHms,Salmo 95:6,A Doutrina de Deus,A Trindade,Jimmy Owens,Jimmy Owens
10,O Senhor Está Aqui,Adoração e Louvor | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=XafjwXQ7OF8,Habacuque 2:20,A Doutrina de Deus,A Trindade,Silmar Correia,Silmar Correia
