Número,Título,Temas Relacionados,Textos Relacionados,Link do Vídeo,Texto Base,Categoria,Subcategoria,Autor da Letra,Autor da Música,letra
1,"Santo, Santo, Santo!",Adoração e Louvor | Graça e Salvação | Sábado e Criação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3,https://www.youtube.com/watch?v=FDpludwY46U,Isaías 6:1-3,A Doutrina de Deus,A Trindade,Reginald Heber,John Bacchus Dykes,"Santo, santo, santo! Deus onipotente! 
Cedo de manhã cantaremos Teu louvor 
Santo, santo, santo! Deus Jeová triúno! 
És Deus excelso nosso Criador 
  Santo, santo, santo! Nós, os pecadores 
Não podemos ver Tua glória sem tremor 
Tu somente és santo justo e compassivo 
Puro e perfeito nosso Redentor 
  Santo, santo, santo! Deus onipotente! 
Tua criação manifesta o Teu amor 
Antes de criares todo o Céu e a Terra 
Eras e sempre hás de ser, Senhor 
 "
2,Ó Adorai o Senhor,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=u4c66cbU9-c,Salmo 96:9,A Doutrina de Deus,A Trindade,John Samuel Bewley Monsell,Edwin Barnes,"Ó adorai o Senhor na beleza 
Da santidade da glória e poder 
Vinde e prostrai-vos à Sua grandeza 
Ele é o princípio e sempre há de ser 
  Vinde a Seus pés Ele é caridade 
Grande e piedoso tardio em furor 
Vinde adorá-Lo por Sua bondade 
Pela grandeza do Seu santo amor 
  Ele criou o Universo e a Terra 
Vinde e adorai-O com fé e oração 
Límpida fonte de bênçãos encerra 
Fonte de graça e de redenção 
 "
3,O Deus Eterno Reina,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=BpMD-UziYbc,Salmo 99:1-3,A Doutrina de Deus,A Trindade,Fanny J. Crosby,Hart Pease Danks,"O Deus eterno reina 
No monte de Sião 
Chegai-vos ante o trono seu 
Em santa adoração 
Trazei humildemente 
O vosso coração 
Ao Deus eterno e Rei dos reis 
Senhor da redenção 
  O Deus eterno reina 
No monte de Sião 
Os astros na amplidão sem fim 
Sustenta com a mão 
A Ele toda a honra 
A glória e o poder! 
E ascendam os louvores mil 
Ao mais sublime ser 
  O Deus eterno reina 
No monte de Sião 
Entrai no santo templo seu 
Buscai o seu perdão 
Buscando sua face 
A paz encontrareis 
E reine para sempre, enfim 
O eterno Rei dos reis 
 "
4,Louvor ao Trino Deus,Adoração e Louvor | Espírito Santo | Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=hfH_dQpEMhk,Salmo 148,A Doutrina de Deus,A Trindade,Elizabeth Rundle Charles,Friedrich Ferdinand Flemming,"Ó anjos e homens dai a Deus louvores 
Pois Sua graça dá aos pecadores! 
Ó firmamento Céus e mar e Terra 
Sim, dai louvor a Deus! 
  Vós, ó remidos, dai louvor a Cristo! 
Tal sacrifício, oh jamais foi visto! 
A Sua morte Seu amor revela 
Sim, adorai Jesus! 
  Quão insondável é o amor divino! 
O Santo Espírito ilumina o mundo 
É tão sublime luz ao peregrino 
Luz que ao Céu conduz 
 "
5,Jubilosos Te Adoramos,"Adoração e Louvor | Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=e6r1kYZJ1hg,Salmo 105:1-3,A Doutrina de Deus,A Trindade,Henry Van Dyke,Ludwig Van Beethoven,"Jubilosos te adoramos 
Deus da glória, Deus do amor 
Nosso coração transborda 
Em louvor a Ti, Senhor 
Rompe as nuvens da tristeza 
Do pecado e do temor 
Doador da eterna graça 
Enche-nos do Teu amor! 
  Tuas obras anunciam 
Teu poder e resplendor 
Céus e terra cantam hinos 
Em louvor a ti, Senhor 
Vales, montes e campinas 
Lindos prados, verde mar 
Aves, fontes cristalinas 
Todos querem te adorar! 
  Aleluia, aleluia 
A Jesus, o redentor! 
Aleluia eternamente 
Em louvor a Ti, Senhor! 
Ao consolador dai glória 
Pois conforto e vida traz 
Aleluia ao pai eterno 
Deus da graça, Deus da paz! 
 "
6,Nós Te Adoramos,"Adoração e Louvor | Crianças e Jovens | Espírito Santo | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=gUX4rONKdeI,Salmo 95:6,A Doutrina de Deus,A Trindade,Edmond L. Budry,Franz Joseph Haydn,"Nós Te adoramos Deus infinito 
E a Teu Filho Rei, Salvador 
Teu nome eterno é sempre bendito 
Teu Espírito traz-nos amor 
Glória rendemos honra, louvor 
E adoração a Ti, ó Senhor! 
  Éramos presos pelo pecado 
Tu nos livraste dessa prisão 
E, por Teu Filho imaculado 
Ofertaste-nos a salvação 
Glória rendemos honra, louvor 
E adoração a Ti, Redentor! 
  Tu nos convences dos vis pecados 
E da justiça luzes nos dás 
E à verdade somos guiados 
Ó Espírito Santo de paz 
Glória rendemos honra, louvor 
E adoração ó Consolador! 
 "
7,Sejas Louvado,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1,https://www.youtube.com/watch?v=jRo9W3iHhLc,"Salmo 9:1, 2",A Doutrina de Deus,A Trindade,Joachim Neander,Stralsund Gesangbuch,"Sejas louvado 
Rei, criador da natura! 
Louva, minh'alma 
Louva com zelo e ternura! 
Louva o senhor 
Pelo insondável amor 
Cálido amor que perdura! 
  Sejas louvado 
Tu que o universo conduzes! 
Sob tuas asas 
Paz e conforto produzes 
Haja louvor 
Pelo teu dom redentor 
Príncipe eterno das luzes! 
  Sejas louvado 
Pelo cuidado paterno! 
Sobre a verdade 
Ergues teu reino eterno 
Teu o louvor 
Seja somente, senhor 
Por Teu amor sempiterno! 
 "
8,Ó Deus de Amor,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=W0Ha0nqpVtY,Gênesis 1:1,A Doutrina de Deus,A Trindade,Isaac Watts,John Hatton,"Ó Deus de amor vimos nós Te adorar 
Vós, ó nações rendei louvor! 
És Tu, Senhor o poderoso Vencedor 
És Criador e Rei sem-par 
  Por Teu poder nos criaste, Senhor 
Deste-nos vida e perfeição 
Mas, ao deixarmos o Teu plano de amor 
Veio em Jesus a salvação 
  Teu é o poder e o louvor, nosso Deus 
Teu, nosso amor fervor também 
Qual rocha firme a verdade ficará 
Deus eternal Senhor. Amém! 
 "
9,"Santo, Santo, Pai Bondoso",Adoração e Louvor | Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=d-Jm5BqIHms,Salmo 95:6,A Doutrina de Deus,A Trindade,Jimmy Owens,Jimmy Owens,"Santo, santo Pai bondoso 
Santo, santo Deus poderoso 
Entregamos nosso coração a Ti, em devoção 
Pai bondoso Te adoramos 
  Santo, santo Cristo amado 
Pela cruz nós somos redimidos 
Elevamos nossa mente em constante adoração 
Cristo amado Te adoramos 
  Santo, santo Santo Espírito 
Enche de poder a nossa vida 
Suplicamos Tua graça Teu auxílio e direção 
Santo Espírito Te adoramos 
 "
10,O Senhor Está Aqui,Adoração e Louvor | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2,https://www.youtube.com/watch?v=XafjwXQ7OF8,Habacuque 2:20,A Doutrina de Deus,A Trindade,Silmar Correia,Silmar Correia,"O Senhor está aqui! O Senhor está aqui! 
Vinde adorá-Lo! Vinde exaltá-Lo! 
O Senhor está aqui! 
  Vamos entoar louvores ao Seu nome! 
Vamos exaltar as Suas maravilhas! 
Toda a Terra e Céu deem o seu louvor! 
Vamos adorar o grande Criador! 
  O Senhor está aqui! O Senhor está aqui! 
Vinde adorá-Lo! Vinde exaltá-Lo! 
O Senhor está aqui! 
  Nuvens e trovões proclamem Sua glória! 
Mundos e nações inclinem-se a Ele! 
Dele é o poder Dele é o louvor! 
Vamos adorar o grande Criador! 
  O Senhor está aqui! O Senhor está aqui! 
Vinde adorá-Lo! Vinde exaltá-Lo! 
O Senhor está aqui! 
 "
